BoatName,BoatID,Day,Kg,Duration,Temperature,temperature,chlor_a,geometry
Rey,112,2020-01-26,34871,12,14.1,14.51060000000001,1.2,POINT (88 234)
Rey,112,2020-01-27,13407,12,14.3,14.344740000000002,1.3,POINT (88 234)
Rey,112,2020-01-28,26039,12,14.7,14.776077999999984,1.52,POINT (88 231)
Rey,112,2020-01-29,12300,12,14.6,14.43137999999999,1.33,POINT (88 233)
Rey,112,2020-01-30,13530,12,14.5,14.965619500000003,1.3,POINT (88 233)
Rey,112,2020-02-03,50184,12,14.4,14.522361500000045,0.69,POINT (88 234)
Rey,112,2020-02-04,50184,12,14.8,15.353556000000026,0.7,POINT (88 234)
Rey,112,2020-02-05,25092,12,15.1,15.111730000000023,0.87,POINT (88 234)
Rey,112,2020-02-06,21279,12,15.3,15.652935500000012,1.13,POINT (89 235)
Rey,112,2020-02-08,31365,12,15.3,14.45136500000001,1.1,POINT (88 233)
Rey,112,2020-02-09,56519,12,15.3,14.976435000000038,0.89,POINT (88 234)
Rey,112,2020-02-10,12239,12,15.3,15.41056500000002,0.86,POINT (88 234)
Rey,112,2020-02-11,20910,12,15.2,14.887155000000007,0.7,POINT (88 235)
Rey,112,2020-02-12,38868,12,15.6,15.979627499999992,0.8,POINT (88 234)
Rey,112,2020-02-13,24723,12,15.9,15.553120000000035,0.8,POINT (88 234)
Rey,112,2020-02-14,27306,12,15.3,15.373590000000036,1.16,POINT (88 234)
Rey,112,2020-02-15,40123,12,15.5,15.800650000000019,0.99,POINT (88 234)
Rey,112,2020-02-16,30074,12,15.5,15.800900000000013,1.32,POINT (88 234)
Rey,112,2020-02-18,40258,12,15.3,15.40725500000002,0.82,POINT (88 235)
Rey,112,2020-02-22,17503,12,14.9,15.088175000000035,0.93,POINT (89 234)
Rey,112,2020-02-23,10763,12,14.8,14.305990000000008,1.75,POINT (88 235)
Rey,112,2020-02-24,28905,12,14.9,14.987648500000034,1.9,POINT (88 234)
Rey,112,2020-02-25,9225,12,14.8,14.353150000000028,0.96,POINT (88 234)
Rey,112,2020-02-26,8487,12,15.1,15.012948000000051,1.23,POINT (88 234)
Rey,112,2020-02-27,16728,12,15.0,14.277935000000014,1.25,POINT (88 235)
Rey,112,2020-02-28,18462,12,14.7,14.337165000000027,1.63,POINT (87 234)
Rey,112,2020-02-29,4428,12,15.3,14.640500000000031,1.28,POINT (87 234)
Rey,112,2020-03-01,4920,12,15.3,14.14643000000001,1.46,POINT (87 235)
Rey,112,2020-03-02,15806,12,13.2,12.232230000000072,3.07,POINT (85 238)
Rey,112,2020-03-03,24231,12,13.6,12.794705000000022,3.61,POINT (84 237)
Rey,112,2020-03-04,21595,12,13.5,14.211052999999993,1.12,POINT (84 237)
Rey,112,2020-03-05,16728,12,12.6,16.085901500000034,1.11,POINT (85 237)
Rey,112,2020-03-06,52398,12,12.9,16.100767500000018,1.13,POINT (84 237)
Rey,112,2020-03-09,8512,12,12.4,11.70010000000002,1.69,POINT (85 237)
Rey,112,2020-03-10,7995,12,12.4,13.99128300000001,1.16,POINT (85 237)
Rey,112,2020-03-11,3075,12,12.4,13.68083999999999,1.12,POINT (84 237)
Rey,112,2020-03-12,11562,12,12.6,13.139512000000025,1.18,POINT (84 238)
Rey,112,2020-03-13,7134,12,12.6,15.805811000000006,1.18,POINT (84 238)
Rey,112,2020-03-14,12054,12,12.4,10.123895000000005,1.68,POINT (83 238)
Rey,112,2020-03-16,4305,12,12.5,11.095450000000028,1.35,POINT (84 238)
Rey,112,2020-03-17,13161,12,12.5,13.326519000000019,1.58,POINT (84 238)
Rey,112,2020-03-18,9225,12,12.1,11.310775000000035,2.06,POINT (85 238)
Rey,112,2020-03-19,1328,12,12.4,13.331617499999993,1.95,POINT (84 238)
Rey,112,2020-03-20,15621,12,11.6,13.278937499999984,1.03,POINT (84 238)
Rey,112,2020-03-21,1107,12,12.6,13.048122000000035,1.35,POINT (84 238)
Rey,112,2020-03-22,3321,12,12.5,15.787162500000022,1.08,POINT (84 238)
Rey,112,2020-03-23,861,12,12.3,10.927650000000028,0.96,POINT (84 238)
Rey,112,2020-03-24,197,12,12.2,10.814050000000066,1.17,POINT (83 238)
Rey,112,2020-03-28,70110,12,13.6,13.280560000000037,1.89,POINT (91 239)
Rey,112,2020-03-29,23985,12,13.1,11.847264999999993,1.48,POINT (91 240)
Rey,112,2020-03-30,21525,12,13.2,12.058060000000069,1.83,POINT (91 240)
Rey,112,2020-03-31,8364,12,13.4,12.155545000000018,1.05,POINT (91 240)
Rey,112,2020-04-01,7872,12,13.4,13.817755000000034,1.92,POINT (92 240)
Rey,112,2020-04-03,75276,12,12.3,13.175185000000056,1.71,POINT (94 241)
Rey,112,2020-04-04,13346,12,12.9,13.632535000000018,1.85,POINT (94 241)
Rey,112,2020-04-12,32182,12,12.7,14.152107999999998,1.23,POINT (96 244)
Rey,112,2020-04-13,65229,12,12.5,10.174360000000036,1.47,POINT (96 244)
Rey,112,2020-04-14,57088,12,13.0,11.987985000000037,1.38,POINT (96 244)
Rey,112,2020-04-15,3298,12,12.6,12.002250000000004,1.46,POINT (96 244)
Rey,112,2020-04-16,52224,12,13.3,11.29894999999999,1.54,POINT (96 244)
Rey,112,2020-04-17,10113,12,13.2,13.045104500000036,1.59,POINT (96 244)
Rey,112,2020-04-18,23497,12,12.8,11.915715000000034,1.12,POINT (96 244)
Rey,112,2020-04-19,66703,12,12.9,14.393766500000027,1.12,POINT (98 245)
Rey,112,2020-04-20,52493,12,13.2,12.837829499999998,2.02,POINT (97 245)
Rey,112,2020-04-21,45429,12,13.1,13.424134999999978,1.02,POINT (98 245)
Rey,112,2020-04-22,21888,12,13.0,13.602860000000021,1.1,POINT (98 245)
Rey,112,2020-04-23,25500,12,13.5,12.339585000000056,1.3,POINT (98 246)
Rey,112,2020-04-24,20967,12,13.8,13.654899999999998,2.39,POINT (98 246)
Rey,112,2020-04-25,25500,12,13.2,12.07388800000001,1.06,POINT (99 246)
Rey,112,2020-04-26,7140,12,13.5,13.261009999999999,1.2,POINT (99 246)
Rey,112,2020-04-27,4359,12,12.3,13.294330000000002,1.29,POINT (98 245)
Rey,112,2020-05-03,9102,12,9.5,13.233134000000064,1.2,POINT (98 246)
Rey,112,2020-05-04,18696,12,10.5,13.117865000000052,1.39,POINT (98 246)
Rey,112,2020-05-05,7749,12,11.5,11.264771500000052,1.96,POINT (98 246)
Rey,112,2020-05-06,18339,12,10.1,9.485450000000014,1.14,POINT (98 246)
Rey,112,2020-05-07,6150,12,9.8,9.131629999999973,1.89,POINT (98 246)
Rey,112,2020-05-08,5843,12,9.9,13.340716000000043,1.34,POINT (97 245)
Rey,112,2020-05-09,19741,12,10.3,11.581025000000068,1.47,POINT (97 245)
Rey,112,2020-05-10,5720,12,10.9,9.588234999999997,2.0,POINT (97 245)
Rey,112,2020-05-11,3641,12,10.1,9.678185000000042,0.98,POINT (97 245)
Rey,112,2020-05-12,26777,12,10.7,9.319295000000011,0.92,POINT (94 242)
Rey,112,2020-05-13,8733,12,9.5,11.514908999999989,0.43,POINT (95 242)
Rey,112,2020-05-14,37638,12,9.5,10.782870000000003,1.19,POINT (94 242)
Rey,112,2020-05-15,11193,12,9.6,11.400314500000036,1.17,POINT (95 242)
Rey,112,2020-05-16,14563,12,9.6,10.533600500000034,0.71,POINT (94 242)
Rey,112,2020-05-17,7478,12,9.3,8.51260000000002,1.1,POINT (94 242)
Rey,112,2020-05-18,37380,12,9.6,10.006609000000026,1.17,POINT (94 242)
Rey,112,2020-05-19,2645,12,9.8,11.858893500000022,1.13,POINT (94 242)
Rey,112,2020-05-20,6839,12,9.1,11.93776600000001,1.19,POINT (94 242)
Rey,112,2020-05-21,5264,12,9.2,8.681100000000015,1.15,POINT (94 242)
Rey,112,2020-05-22,16138,12,9.4,8.613855000000058,0.74,POINT (93 241)
Rey,112,2020-05-23,5018,12,9.8,10.434311999999977,1.29,POINT (93 241)
Rey,112,2020-05-26,3567,12,9.4,8.851492500000063,1.31,POINT (94 242)
Rey,112,2020-05-27,812,12,9.3,9.591722000000004,1.26,POINT (94 242)
Rey,112,2020-05-28,6654,12,12.5,11.16172800000004,1.2,POINT (94 239)
Rey,112,2020-05-29,56457,12,11.1,10.96133850000001,1.16,POINT (94 239)
Rey,112,2020-05-30,49938,12,11.3,10.966255000000046,1.09,POINT (94 239)
Rey,112,2020-05-31,33087,12,11.4,10.756204000000025,1.69,POINT (94 239)
Rey,112,2020-06-01,50184,12,11.5,8.316765000000032,0.84,POINT (94 240)
Rey,112,2020-06-02,27687,12,11.1,11.014922000000013,1.1,POINT (94 240)
Rey,112,2020-06-08,32447,12,11.5,11.029194000000018,1.22,POINT (93 239)
Rey,112,2020-06-09,20910,12,11.4,10.728018500000019,0.85,POINT (93 239)
